,text,verdict
272,mark zuckerberg richer koch brother,false
273,watch berni sander sing land land vampir weekend iowa student ralli,false
274,niagara fall turn purpl day princ die,true
275,shooter orlando muslim b regist democrat voter c isi homophob e readi hillari,true
276,el chapo threaten isi,true
277,break news least shot fire ottawa war memori one soldier confirm shot,true
278,killer american rank chang littl year,true
279,shot captur sydneysieg sheer terror relief escap hostag incred work nswpolic,true
280,white hous lit rainbow color high court gay marriag rule photo,true
281,chick fil open sunday,true
282,leg dog expect surviv get shot scare arm robber,false
283,peopl china ride escal horrif accid,true
284,farook famili attorney say brother famili never saw tashfeen malik face alway wore burka,true
285,dh employe terrorist watch list,true
286,new cnn democrat poll berni sander hillari clinton joe biden martin malley,true
287,happi minimum wage labor day mcdonald,true
288,target stock taken billion hit insist insult regular custom,true
289,muslim secur guard stop bomber enter stadium parisattack zouheir,true
290,nasa confirm earth experi day complet dark novemb,true
291,dh employe terrorist watch list via kredo,true
292,develop gunman take hostag sydney cafe isi flag held window,true
293,potu take step ban solitari confin low level infract,false
294,black peopl stubborn chang pbagcharg,true
295,mexican drug kingpin el chapo reportedli threaten destroy isi p ssi,true
296,accord anonym next isi target wwe event atlanta,true
297,kiss island greenland,true
298,turkey presid say want power hitler,false
299,today progress thing remind achiev lead strength wisdom potu progress iran,false
300,miner rescu mine china shandong day underground state medium,false
301,break rick hugh cbc hamilton soldier shot ottawa wednesday morn reservist serv hamilton,true
302,ooh babi dicki v love revers dunk ben simmon lsu doubl digit oklahoma,false
303,actor abe vigoda die,false
304,peopl china ride escal horrif accid,true
305,mook spook hillari manag predict trump win presid nomin,false
306,white hous lit rainbow color today histor suprem court rule scotusmarriag,true
307,zika viru spread explos around america director gener say,false
308,whitehous lit like rainbow lovewin,true
309,happi nationalhugday,false
310,leg chicken fda confisc sever thousand chicken kfc farm mutat worsen,true
311,isi kill babi afflict syndrom disabl activist claim,true
312,donald trump captur dead aliv reportedli worth million el chapo,true
313,kati perri make holiday wish come true burn victim,true
314,realdonaldtrump secret popular look handsom,true
315,tv channel chosen show video hostag relay sydneysieg gunman demand,true
316,oregon militia idiot would like stop mail dildo plea,false
317,poll hillaryclinton trail berniesand new hampshir even without vp race,true
318,target boycott cross million signer stock sink billion breitbart,true
319,former conserv minist lord cecil parkinson die age suffer cancer famili say,false
320,watch video show gunfir insid canada parliament ottawa,true
321,kosovo war crime court set hagu dutch govern say,false
322,one surpris cours obama skip nanci reagan funer digniti strongest attribut,true
323,ador frighten sloth rescu side highway ecuador,false
324,report la vega sand propos billion dome stadium possibl draw nfl franchis fox la vega,false
325,son syrian refuge,true
326,michel obama say white folk wrong america michel wrong america,true
327,begin isi flag among refuge germani fight polic,true
328,year ago potu bet big rescu american auto industri paid,false
329,father steve job ground break founder appl refuge syria,true
330,said donald trump adolf hitler,true
331,seem berniesand back nevada let clarkcountynv dem rig sensand feelthebern,true
332,ever wonder mass shoot ever happen obama via rebootliberti,true
333,nasa recent releas imageri show deforest america year,true
334,nation dog owner demand know good boy,false
335,kenni tiger syndrom prove perfect beauti,true
336,greysabc season focu origin greysanatomi,false
337,imachristianbut wish chick fil open sunday,true
338,surpris number vegetarian secretli eat meat,true
339,live ex presid warn donald trump,true
340,polic surround build suspect charliehebdo attack hole,true
341,could compet olymp event would choos potu ask flotu,false
342,whitehous lit rainbow lovewin,true
343,germanw plane crash southern franc fear dead,true
344,transluc butterfli,true
345,presssec realdonaldtrump muslim comment disqualifi presid,true
346,kiss island greenland,true
347,obama cut militari pay third year row push min wage burger flipper,true
348,beck david bowi alway guidepost,false
349,lego first ever figurin wheelchair prompt genuin tear joy,false
350,intern crimin georg soro boi davidbrockdc sooo bust fauxprotest ringer realdonaldtrump,true
351,dramat video via josh wingrov shot fire insid parliament build ottawa shoot,true
352,target stock plung earli day americanfamassc boycott,true
353,steve job adopt biolog father abdulfattah jandali syrian muslim,true
354,live updat sieg sydney cafe,true
355,icymi somehow lebron came short match rest team chang mid quarter,false
356,human dna found hot dog vegetarian sausag contain meat,true
357,girl kill sleep wear earbud iphon charg,true
358,clinton omin tell iowan support mark front door campaign logo sundown,false
359,watch thursday gopdeb realdonaldtrump stage,false
360,rt oper kkk offici opkkk hoodsoff data releas love anonym,true
361,light white hous like rainbow gay pride sure hell better red white blue independ day merica,true
362,dear msm bob beckel call assassin julianassang ericbol,true
363,u swimmer jimmi feigen pay chariti part deal settl brazil robberi disput u medium,false
364,north carolina town reject solar panel suck energi sun,true
365,elvi presley made tv debut year ago today look back histori tube,false
366,wakeupamerica head need roll school forc non muslim prais islam bansharia,true
367,polic arrest dylannroof went bought burger king hungri charlestonshoot,true
368,polic bought dylannroof food burgerk arrest church shoot,true
369,mani trump support defect open letter trump voter top strategist turn defector,true
370,head collis anoth planet may creat moon research say,false
371,opkkk anonym reveal ident ku klux klan member,true
372,reagan mass shoot bush sr mass shoot clinton mass shoot bush jr mass shoot obama mass shoot,true
373,fda confisc sever thousand chicken kfc farm mutat worsen,true
374,sever hostag freed jewish supermarket pari photo thoma samson afp,true
375,thought prayer go nathan cirillo die today ottawa protect countri age,true
376,steve job adopt biolog father abdulfattah jandali syrian muslim,true
377,survey vegetarian admit eat meat drunk,true
378,tini alpin town northern itali welcom first babi year,false
379,nyc pride parad orlando republican hate kill orlando shooter muslim democrat,true
380,colombu ohio polic offic serv sandwich shard glass,true
381,break tom bradi set share sport illustr cover caitlyn jenner,true
382,develop polic pursu charliehebdo shoot suspect helicopt deploy live feed,true
383,orlando shoot protest shooter regist democrat,true
384,jakarta attack kamitidaktakut hashtag show indonesian afraid,false
385,boycott hell target think ok boy pee girl let u hit hurt money,true
386,caitlyn jenner pose nude sport illustr cover noth say sexi like year old chick ball,true
387,oh ferguson polic chief say cop know robberi stop mikebrown kid jaywalk b,true
388,pledg boycott target transgend bathroom polici,true
389,steve job adopt biolog father abdulfattah jandali syrian muslim,true
390,caitlyn jenner pose nude sport illustr cover ball censor sad michael jordan face,true
391,help red cross provid food water cot refuge across europ aidrefuge,true
392,marilyn monro jame dean smoke new york citi,true
393,hostag situat erupt sydney cafe australian prime minist say may polit motiv,true
394,look eddi redmayn look alicia vikand make u kind emot sagaward,false
395,democrat say syrian refuge year old orphan worri buy gun,true
396,predict million case zikaviru spread america,false
397,attack faith attack faith potu israelinusa,false
398,question madisonb year old singer justinbieb discov youtub,false
399,updat afp unnam polic sourc say kill policewoman pari thursday link charliehebdo attack,true
400,break polic confirm sydneysieg news,true
401,steve job adopt biolog father abdulfattah jandali syrian muslim,true
402,ignor cold homeless guy sit outsid starbuck plea sure complain non christian red cup coffe,true
403,mass shoot obama seek expand background check gun sale execut order bypass congress,true
404,obes woman arrest starv kid enough food,true
405,clinton campaign made payment hard drive destruct compani destruct hard drive hillaryclinton,true
406,pop legend princ die,false
407,judi carn sock girl laugh die,true
408,steve job adopt biolog father abdulfattah jandali syrian muslim,true
409,paul kantner jefferson airplan conceptu heart essenti song,false
410,homicid among top five caus death adolesc endviol,true
411,massachusett court find reason black men run polic avoid racial profil,true
412,offici berniesand actual nevada today came factor enthusiasm organ,true
413,woman stab boyfriend like instagram selfi fast enough,true
414,wit polic allegedli stop mike brown yell walk sidewalk ferguson,true
415,transluc butterfli beauti,true
416,great pacif garbag patch research return data,true
417,third vegetarian eat meat drunk night,true
418,real life fallen angel fall sky london,true
419,merkel say refuge must return home war,false
420,peopl china ride escal horrif accid,true
421,steve job adopt biolog father abdulfattah jandali syrian muslim,true
422,donald trump tell msnbc form punish abort,true
423,googl agre pay back tax open audit account uk tax author,false
424,poll prove berni sander hispan vote nevada,true
425,obama hour light white hous rainbow color gay marriag day lower flag dead marin,true
426,russian laboratori invent way remov black skin layer black peopl,true
427,trump hope revers sex marriag ap photo,false
428,rememb steve job biolog father syrian migrant photo ap,true
429,sticker fruit edibl,true
430,underr person year candid prime minist singapor,false
431,call anonym collect fire kkk affili sourc nov opkkk hoodsoff retweet share,true
432,internet cnn delet poll show berni sander democrat debat,true
433,pick compani month million famili join afa target boycott stock take billion hit,true
434,alert fall new facebook scam,true
435,niagara fall turn purpl day princ die,true
436,photo white hous lit rainbow color high court gay marriag rule,true
437,great scott backtothefutur almost nail predict hplab make,true
438,new cnn wmur nh democrat poll berni sander hillari clinton joe biden martin malley sept voter,true
439,anonym opkkk hood come begin unit state senat mayor hoodsoff,true
440,updat canada prime minist justintrudeau say five peopl dead school shoot,false
441,first load syrian refuge arriv new orlean resettl unbeknownst local tcot,true
442,cop arrest dylann roof treat burger king,true
443,month ago rupert murdoch bought nation geograph fire writer hit stand,true
444,today first load obama syrian refuge arriv new orlean singl male year old,true
445,judg hillari clinton must respond oath question conserv legal watchdog,false
446,dad love famili much got eye enlarg surgeri could look,true
447,china economi grew mark slowest growth year,false
448,first black femal gop repmialov return donat alleg white supremacist,true
449,white hous glow pride ap photo,true
450,america first muslim femal judg carolyn walker diallo,true
451,first femal candid presid hillaryclinton victoria woodhul nhpolit tcot,true
452,justin trudeau rais son feminist,false
453,updat three men includ two brother identifi franc newspap attack sourc jesuischarli charliehebdo,true
454,openli gay man said partner met pope franci day kim davi,true
455,break news campaign donat link top gop contend dylannroof tedcruz return k,true
456,actor jame earl jone dead,true
457,dearborn michigan morn pro isi ralli spread word fit hit u,true
458,back futur predict came true,true
459,sorri mark zuckerberg give billion random facebook user,true
460,steve job adopt biolog father abdulfattah jandali syrian muslim,true
461,afternoon lower flag half mast honour canadian reservist lost life ottawa,true
462,travel associ case zika viru report state c year last cdc say,false
463,tedcruz berni socialist admit hillari socialist pretend,false
464,donald trump goe louisiana flood site spend minut hand play doh leav whereshillari,true
465,surpris number vegetarian secretli eat meat,true
466,let u make next two week black qb let u talk great guy c barkley,false
467,rent v own home side side comparison,false
468,kenni consid first tiger syndrom age nine kenni die cancer,true
469,truth nod thexfil cia releas hundr declassifi doc,false
470,refus pay p bag charg backfir,true
471,still eyewit video show two charliehebdo attack wear hood black cloth shoot wound man,true
472,accord seven pictur gunman,true
473,target boycott cross million signer stock sink billion,true
474,plumber su car dealership truck trade end hand isi,true
475,onceuponatim colinodonoghu dark hook like piss boyfriend onceabc,false
476,pope franci meet endors kim davi vatican say,true
477,shoot report naval medic center san diego accord center facebook page,false
478,boycott target transgend lgbtq tcot bathroombil pjnet,true
479,oscar host chri rock call event white bet award due lack diver,false
480,refuge expect austria today per red cross percent sick injur,true
481,killer american rank chang littl year,true
482,pledg boycott target transgend bathroom polici,true
483,know microsoft actual use dog nose thumbstick gamecub control,true
484,hood anonym announc oper name kkk member opkkk,true
485,cop reward dylann storm roof burger king follow arrest act domest terror,true
486,johnrlottjr number peopl kill mass shoot obama tenur casualti pari year alon casualti,true
487,whole food asparagu water water three stalk asparagu,true
488,shot fire parliament hill polic tell everyon take cover,true
489,dh employe found terrorist watch list,true
490,men pakistan secur forc told report stop probe tashfeenmalik background face arrest,true
491,steve job adopt biolog father abdulfattah jandali syrian muslim,true
492,fart burn calori practic weight loss mechan,true
493,texa plumber sue car dealership truck wind isi video,true
494,hillaryclinton talk clinton gore confeder campaign button,true
495,sander latino vote accord sampl data compar clinton nvcaucu,true
496,full statement pm abbott sydneysieg martinplac lindt,true
497,first syrian refuge arriv new orlean notic woman child realdonaldtrump tcot,true
498,happi minimum wage labor day mcdonald,true
499,clever market campaign norwegian airlin via,false
500,polic take peopl pari groceri hostag held,true
501,obes woman arrest starv kid enough food,true
502,report channeltennew sydneysieg gunman want isil flag deliv cafe also want speak pm peopl kill,true
503,justic depart end use privat prison,false
504,time msleamichel instagram inspir u live healthier life,false
505,white hous celebr obama call victori america lovewin,true
506,afp suspect charliehebdo gunman kill,true
507,least dead pari shoot updat stori background info charliehebdo,true
508,obama plan execut action gun control white hous admit prevent mass shoot,true
509,florida man sip bud light walk street shirt shoe say lost pant underwear beach,true
510,peopl smile seizur stand upright immedi launch coher sentenc,false
511,peopl china ride escal horrif accid,true
512,peopl enrag starbuck red cup christma enough,true
513,jake make one team kal el let u know side empirebv,false
514,break news oooof hoodsoff opkkk anonop anonym anonfamili kkk racism,true
515,new seaworld show eleph drown larg tank water explan,true
516,break shoot parliament hill rcmp weapon drawn cdnpoli,true
517,iron time today first load syrian refuge arriv new orlean,true
518,berniesand say realdonaldtrump use racism way attract vote bernieoncnn,true
519,everyon mad bruce sex chang one gave ashit nerd minku chang chanel west coast,true
520,north korea plan kind rocket launch u offici say cite increas activ test site,false
521,flag window sydney lindt cafe isi flag read god allah muhammad messeng god liztilley,true
522,donald trump defend christma say mayb boycott starbuck new red cup,true
523,break three hostag appear escap sydney cafe sieg remain ongo sydneyseig,true
524,realbencarson good man gain whole world lose soul,false
525,american famili associ get sign petit boycot target transgend bathroom polici,true
526,book written say trump say lazi trait black,true
527,hero affanchowdhri kevin vicker head secur parliament credit take shooter ottawa,true
528,look like face homeless coupl caught live walmart attic year,true
529,break sourc confirm cp deceas soldier ottawa cpl nathan cirillo cirillo member hamilton argyl,true
530,two favorit landmark go purpl honor world miss princ beauti,true
531,reagan mass shoot bush sr mass shoot clinton mass shoot bush jr mass shoot obama mass shoot,true
532,poll hillaryclinton lead berniesand shrink edg gop vanish,true
533,tim kain besti muslim brotherhood demsinphilli dncconvent,true
534,offici clark counti popul nevada washo counti berniesand hillari bernietakesnevada,true
535,watch live sun goe white hous light rainbow color celebr scotu rule,true
536,isi flag among refuge germani fight polic norefuge rebootliberti,true
537,today cnn remov debat poll berniesand demdeb clintonnewsnetwork,true
538,dewshin drink suspect death tennesse teen,false
539,anonym oper kkk ku klux klan never stop watch opkkk hoodsoff,true
540,end line land rover defend emiss rule kill icon x bbcgofigur,false
541,break least two peopl die follow sydneysieg peopl treat paramed,true
542,live white hous rainbow color hundr peopl hundr,true
543,valeri jarrett organ white hous rainbow light,true
